,power_w
power_w,1.0
energy_interval,0.9998320145295462
energy_wh,0.9653353035546383
GlobalRadiation [W m-2],0.8930348012367445
ClearSkyGHI,0.8272014978607918
ClearSkyDNI,0.806407052288746
ClearSkyDHI,0.7931588687811417
ClearSkyIndex,0.6505190655688476
Temperature [degree_Celsius],0.5089116901119293
WindSpeed [m s-1],0.37710927426580376
hour_sin,0.12424706270151413
day_sin,0.020458419351329433
hour,-0.01718319770889743
day_of_year,-0.024244015986558825
Pressure [hPa],-0.02838574740929869
Precipitation [mm],-0.048107915750334546
day_cos,-0.28731288179066977
isNight,-0.6326849876228897
hour_cos,-0.6335789407245532
