,0
GlobalRadiation [W m-2],0.8929965931684478
ClearSkyGHI,0.7587544697043596
ClearSkyDNI,0.7509283157554707
ClearSkyDHI,0.7508367063750354
hour,0.6428606279860585
hour_cos,0.5657992647591037
ClearSkyIndex,0.5567226787543254
isNight,0.48164013642272696
hour_sin,0.1999035210472755
Temperature [degree_Celsius],0.18555079600720514
WindSpeed [m s-1],0.12550056450383007
day_of_year,0.08797287942881038
day_cos,0.06976790462253746
day_sin,0.027881797860838553
Pressure [hPa],0.02179008173546393
Precipitation [mm],0.017446478299576018
